Days ,Time ,LT7 ,IBD6 ,IBD7 ,IBD8 ,IBD1 ,IBD2 ,IBD3 ,IBD4 ,IBD5 ,LR5A ,LR5B ,B8 ,C8 ,B9 ,C9 ,B10 ,C10 ,SSL ,ML ,LR4D ,LR4B ,LR4C ,AR1 ,AR2 ,CL1 ,CL2 ,YOGA ,IM ,WM ,LIB ,LCSA ,DRAMA ,BL1 ,BL2 ,PL1 ,PL2 ,CL ,LR2A ,CPA ,AUDI ,PE ,objectId
WEDNESDAY ,1|8:30-9:30 ,YEAR 12|TOK B7|CS ,YEAR 11|SPA AB B6|GM ,YEAR 11|MATHSL B6|MK ,YEAR 11|CHEMSL B6|KM ,YEAR 12|TOK B7|PM+SK ,YEAR 12|TOK B7|NN ,YEAR 12|TOK B7|DJ+RRN ,YEAR 12|TOK B7|AP ,YEAR 12|TOK B7|SP+SR ,YEAR 11|GEO SL B6|FK , , , , , , , , , ,YEAR 11|HIN SL B6|MP ,YEAR 12|TOK B7|RD+SBA ,YEAR 12|TOK B7|PS , , ,YEAR 11|BIO SL B6|AB+AM , , , , ,YEAR 11|PSY SL KDY|| UKGA ,YEAR 11|GP SL B6|SS ,YEAR 11|ECO SL B6|NMT , ,YEAR 11|SEHS B6|WZ+BDA , , , , ,YEAR 11|PHY SL B6|NB|IN 10A , , ,ZKUwhxcL0f
TUESDAY ,1|8:30-9:30 ,YEAR 11|ECO HL B3|CMC ,YEAR 12|FR SL B4|HH ,YEAR 12|MATHSL B4|ALI ,YEAR 12|EGLTSL B4|SG ,YEAR 11|PHY HL B3|BP , ,YEAR 11|MATHHL B3|ML ,YEAR 11|HIS HL B3|SP ,YEAR 11|PSY HL B3|AP ,YEAR 11|GEO HL B3|MD ,YEAR 12|EGLLSL B4|NMN , , , , , , , , , ,YEAR 12|HIN SL B4|DS ,YEAR 12|SPA AB B4|GM , , ,YEAR 12|EGLLSL B4|LR , , , , , ,YEAR 12|FR AB B4|SRU , ,YEAR 11|BIO HL B3|SB , , , ,YEAR 11|CHEMHL B3|HIY , ,YEAR 12|EGLPSL B4|NP , , ,3b4vZk7jQq
WEDNESDAY ,2|9:30-10:30 ,YEAR 12|ECO HL B3|JSP ,YEAR 11|SPA AB B4|MM ,YEAR 12|PHY HL B3|SK ,YEAR 11|MATHSL B4|SDA ,YEAR 11|EGLTSL B4|DI ,YEAR 11|EGLLSL B4|PD ,YEAR 12|MATHHL B3|SPL ,YEAR 12|HIS HL B3|SWA+SP ,YEAR 12|PSY HL B3|KDY , ,YEAR 12|CHEMHL B3|HIY , , , , , , , , ,YEAR 11|HIN SL B4|DS , ,YEAR 11|FRE SL B4|PS , ,YEAR 12|VA HL B3|MR ,YEAR 12|CS HL B3|ND , , , , , ,YEAR 12|GEO HL B3|SS+FK , , ,YEAR 12|BIO HL B3|SB ,YEAR 12|PHY HL B3|BP , , , ,YEAR 11|EGLPSL B4|AH+NP , , ,ub3nKqere7
MONDAY ,1|8:30-9:30 ,YEAR 12|ECO HL B2|CMC ,YEAR 12|EGLLHL B2|MFI ,YEAR 11|EGLPSL B4|AH+NP ,YEAR 12|ECO HL B2|YC ,YEAR 11|EGLTSL B4|DI ,YEAR 11|EGLLSL B4|PD ,YEAR 11|MATHSL B4|SDA ,YEAR 12|B&M HL B2|DJ ,YEAR 12|PSY HL B2|AP , ,YEAR 12|MATHHL B2|ML , , , , , , , ,YEAR 12|HIN HL B2|MP ,YEAR 11|HIN SL B4|DS ,YEAR 11|FR SL B4|PS ,YEAR 11|SPA AB B4|MM , , , , , , , , , , , , , ,YEAR 12|PHY HL B2|NB ,YEAR 12|CHEMHL B2|KM , ,YEAR 11|EGLPSL B4|AH+NP , , ,Q0KZfAR0ub
FRIDAY ,4|12:00-1:00 ,YEAR 11|EGLPSL B4|AH ,YEAR 12|ECO SL B6|CMC ,YEAR 11|SPA AB B4|MM ,YEAR 11|FR SL B4|PS ,YEAR 11|EGLTSL B4|DI ,YEAR 11|EGLLSL B4|PD ,YEAR 12|MATHSL B6|SPA ,YEAR 12|SEHS B6|WZ ,YEAR 12|EGLTSL B6|MFI ,YEAR 11|MATHSL B4|SDA , , , , , , , , , ,YEAR 11|HIN SL B4|DS , ,YEAR 12|SPA AB B6|GM , , ,YEAR 12|PHY SL B6|BP , , , , , ,YEAR 12|HIN SL B6|AV , , ,YEAR 12|BIO SL B6|BDA , ,YEAR 12|CHEMSL B6|HIY , , ,YEAR 12|EGLPSL B6|NP , , ,8kmHMzbwNa
MONDAY ,5|1:30-2:15 ,YEAR 11|MATHHL B1|SPL , ,YEAR 11|ECO HL B1|NMT ,YEAR 12|ECO HL B1|CS ,YEAR 12|EGLLHL B1|NN+BS ,YEAR 12|MATHHL B1|YD ,YEAR 12|MATHHL B1|ML ,YEAR 11|EGLLHL B1|LR ,YEAR 12|CHEMHL B1|RS , , , , , , , , , , , , , , ,YEAR 12|VA HL B1|MR +|YEAR 11|VA HL B1|SSH ,YEAR 11|CS HL B1|ND , , , , ,YEAR 11|HIN HL B1|MC , , ,YEAR 12|BIO HL B1|BD ,YEAR 11|BIO HL B1|DN ,YEAR 11|PHY HL B1|SK ,YEAR 12|PHY HL B1|BP ,YEAR 11|CHEMHL B1|AR , , , , ,8XfqPB2Bo8
THURSDAY ,1|8:30-9:30 ,YEAR 12|TOK B7|CS ,YEAR 11|SPA AB B6|GM ,YEAR 11|MATHSL B6|MK ,YEAR 11|ECO SL B6|NMT ,YEAR 12|TOK B7|PM+SK ,YEAR 12|TOK B7|NN ,YEAR 12|TOK B7|DJ+RRN ,YEAR 12|TOK B7|AP ,YEAR 12|TOK B7|SP+SR , , ,YEAR 11|GEO SL B6|FK , , , , , , , , ,YEAR 12|TOK B7|RD+SBA ,YEAR 12|TOK B7|PS ,YEAR 11|HIN SL B6|MP ,YEAR 11|SEHS B6|WZ+BDA , , , , , ,YEAR 11|PSY SL B6|KDY ,YEAR 11|GP SL B6|SS , ,YEAR 11|BIO SL B6|AB+AM , , ,YEAR 11|CHEMSL B6|KM ,YEAR 11|PHY SL B6|NB , , , , ,PBUFWUyIoV
THURSDAY ,3|11:00-12:00 , , , ,YEAR 11|ECO HL B3|CMC , ,YEAR 11|GEO HL B3|MD+RRN ,YEAR 11|MATHHL B3|ML ,YEAR 11|HIS HL B3|SP ,YEAR 11|PSY HL B3|AP ,YEAR 11|CHEMHL B3|HIY , , , , , , , , , , , , , , ,YEAR 11|PHY HL B3|BP , , , , , , , ,YEAR 11|BIO HL B3|SB , , , , , , , , ,AMh7GeoxBQ
FRIDAY ,2|9:30-10:30 ,YEAR 12|ECO HL B1|CS ,YEAR 11|SPA AB B6|GM ,YEAR 11|GEO SL B6|FK ,YEAR 12|PHY HL B1|BP ,YEAR 12|EGLLHL B1|NN+BS ,YEAR 11|MATHSL B6|MK ,YEAR 12|MATHHL B1|ML ,YEAR 11|SEHS B6|WZ+BDA ,YEAR 12|CHEMHL B1|RS ,YEAR 12|MATHHL B1|YD+SDA ,YEAR 11|ECO SL B6|NMT , , , , , , , , ,YEAR 11|HIN SL B6|MP , , , ,YEAR 12|VA HL B1|MR ,YEAR 11|CHEMSL B6|KM , , , , ,YEAR 11|PSY SL KDY||2B ,YEAR 11|GP SL B6|SS , ,YEAR 11|BIO SL B6|AB+AM , ,YEAR 12|BIO HL B1|SB , , ,YEAR 11|PHY SL B6|NB , , , ,blpT6q8ql3
FRIDAY ,3|11:00-12:00 ,YEAR 12|ECO HL B2|CMC ,YEAR 11|ECO HL B1|NMT ,YEAR 11|PHY HL B1|SK ,YEAR 12|B&M HL B2|DJ ,YEAR 12|EGLLHL B2|MFI ,YEAR 11|EGLLHL B1|LR ,YEAR 12|MATHHL B2|ML ,YEAR 12|ECO HL B2|YC ,YEAR 12|PSY HL B2|AP , ,YEAR 11|MATHHL B1|SPL ,YEAR 11|CHEMHL B1|AR , , , , , , , , , , , ,YEAR 11|VA HL B1|SSH ,YEAR 11|CS HL B1|ND , , , , , , , ,YEAR 11|BIO HL B1|DN ,YEAR 12|PHY HL B2|NB , , ,YEAR 12|CHEMHL B2|KM ,YEAR 11|HIN HL B1|MC , , , ,Oe90RCPj0S
